#{"t_start": 1772323696.7707138, "env_id": "None"}
r,l,t,termination_reason
265.043081,74,112.901879,success
263.583693,74,113.019979,success
265.146145,75,113.137819,success
262.064368,74,113.257734,success
264.342569,73,113.540207,success
-138.771324,79,113.666419,collision
263.704429,76,113.788873,success
257.81886,76,113.909151,success
260.846371,73,114.0258,success
261.022967,75,114.146707,success
264.499708,74,114.26419,success
266.452185,73,114.546449,success
264.101104,74,114.665212,success
263.977988,74,114.780843,success
265.264267,73,114.898349,success
262.57876,74,115.017707,success
263.561685,73,115.133692,success
261.821827,74,115.250394,success
263.215226,73,115.531465,success
264.859742,72,115.641343,success
263.237674,72,115.755117,success
264.17606,71,115.869214,success
264.478418,73,115.985477,success
263.750873,73,116.103293,success
263.616479,73,116.217341,success
263.734998,72,116.504461,success
264.369301,72,116.619616,success
262.582873,72,116.736626,success
266.264666,71,116.8511,success
265.001872,70,116.963568,success
259.6289,75,117.079059,success
263.454428,73,117.193268,success
263.056685,71,117.481626,success
264.24782,70,117.594682,success
260.44437,73,117.712993,success
261.309055,72,117.826965,success
263.866677,71,117.940922,success
261.163614,71,118.054589,success
264.001344,69,118.166126,success
263.671986,71,118.4428,success
266.560647,71,118.556041,success
266.377088,71,118.666789,success
269.214545,70,118.772684,success
265.891401,71,118.887591,success
265.206216,72,119.005481,success
263.330529,71,119.119882,success
263.114135,71,119.403225,success
269.289672,70,119.515874,success
267.554812,71,119.629163,success
263.42812,71,119.743235,success
261.444031,72,119.861712,success
264.567938,70,119.972636,success
266.670037,69,120.083151,success
265.755895,72,120.367999,success
267.187408,70,120.482075,success
266.973804,71,120.597418,success
263.302808,70,120.714635,success
264.976757,71,120.829463,success
266.426427,69,120.936948,success
268.090697,68,121.044464,success
267.413919,70,121.151787,success
262.455396,68,121.428651,success
265.320431,67,121.534486,success
263.625148,71,121.650559,success
264.893086,69,121.762213,success
265.37092,69,121.87464,success
264.27302,68,121.985981,success
266.054015,71,122.095816,success
263.340325,69,122.380254,success
266.141605,71,122.49369,success
262.56445,69,122.605001,success
266.197527,68,122.712546,success
264.357165,67,122.822157,success
267.164314,69,122.929668,success
266.182022,69,123.038594,success
267.444053,68,123.147731,success
267.943928,67,123.421674,success
265.041293,69,123.530352,success
267.605142,68,123.6402,success
265.816608,66,123.747587,success
267.42744,67,123.852524,success
266.24744,67,123.960633,success
268.132379,69,124.071406,success
266.283031,69,124.350518,success
266.522114,67,124.456496,success
265.095662,69,124.564664,success
267.826094,66,124.670521,success
265.213969,66,124.778434,success
267.704429,65,124.883316,success
265.037125,69,124.992993,success
264.911538,66,125.100193,success
262.816365,67,125.374913,success
267.388673,65,125.482257,success
267.708057,66,125.589691,success
264.923623,67,125.696079,success
268.189225,66,125.803168,success
267.026077,66,125.908662,success
267.21512,66,126.016345,success
267.231503,67,126.124763,success
268.160741,66,126.398496,success
265.037761,67,126.507828,success
269.954645,67,126.619895,success
265.111284,67,126.729866,success
268.575433,66,126.838522,success
267.511444,67,126.944302,success
266.404211,66,127.048623,success
266.255376,66,127.32254,success
267.408297,66,127.427414,success
267.582646,64,127.529459,success
265.844567,66,127.636509,success
268.901221,66,127.744494,success
267.256813,65,127.843444,success
268.9841,66,127.952876,success
268.015462,66,128.059178,success
269.097334,65,128.329234,success
267.615792,66,128.435258,success
268.308279,65,128.540623,success
266.734819,65,128.645362,success
265.510388,66,128.749688,success
270.557951,65,128.856703,success
267.62914,65,128.958446,success
269.02821,64,129.059429,success
268.99099,65,129.327199,success
271.041296,64,129.426718,success
268.638581,63,129.52602,success
263.694098,64,129.628938,success
269.428619,64,129.728311,success
268.570575,63,129.828353,success
270.137788,65,129.933569,success
265.055588,67,130.041273,success
268.997884,62,130.306307,success
271.203757,62,130.40536,success
269.891443,65,130.508942,success
270.632676,63,130.609743,success
267.862187,65,130.716294,success
268.098847,64,130.819918,success
267.371853,63,130.92151,success
267.707989,64,131.024443,success
266.653891,64,131.291535,success
270.285268,63,131.393088,success
269.385733,64,131.49687,success
267.920792,64,131.599882,success
273.343788,63,131.703363,success
269.781971,63,131.806956,success
267.904398,64,131.911548,success
268.562595,62,132.012388,success
267.023416,64,132.284657,success
269.251867,63,132.386895,success
267.126985,63,132.488537,success
268.05313,63,132.589322,success
269.989803,63,132.688555,success
267.160995,64,132.787595,success
269.099316,63,132.886093,success
269.95844,63,132.990876,success
267.476863,62,133.255298,success
273.060437,62,133.356385,success
271.286256,61,133.453772,success
272.349686,62,133.551316,success
269.174193,63,133.651045,success
271.135948,61,133.750655,success
269.30476,62,133.847765,success
271.641449,63,133.9461,success
269.358742,63,134.208119,success
273.037503,61,134.305621,success
268.227462,62,134.40617,success
271.0502,61,134.504906,success
272.960102,62,134.603511,success
270.27899,61,134.700942,success
271.198635,63,134.804124,success
267.975839,64,134.905547,success
268.204821,63,135.008623,success
273.279142,62,135.271892,success
269.570521,62,135.372252,success
268.491002,61,135.469942,success
268.758767,61,135.56885,success
271.926537,62,135.683592,success
269.265987,61,135.787473,success
270.036598,61,135.884334,success
271.692496,62,135.987106,success
269.645712,62,136.248366,success
271.646145,61,136.346718,success
268.870884,61,136.441447,success
270.587567,62,136.53775,success
271.071237,61,136.634242,success
271.633785,61,136.729821,success
271.311902,61,136.825745,success
273.407025,60,136.923976,success
270.790146,61,137.194318,success
272.417259,60,137.287972,success
272.480064,61,137.388079,success
270.061381,60,137.485415,success
269.567878,62,137.585582,success
267.374082,61,137.684925,success
270.400702,61,137.783828,success
272.397653,61,137.884317,success
268.767388,62,137.986024,success
270.737162,61,138.242332,success
273.996776,61,138.338336,success
268.734987,60,138.435212,success
272.055415,62,138.533681,success
270.142564,60,138.629253,success
270.651609,61,138.724686,success
270.641331,61,138.821666,success
269.911366,61,138.920911,success
270.65836,60,139.184413,success
273.06756,59,139.278282,success
273.239218,61,139.378016,success
274.226655,60,139.4753,success
272.149643,61,139.572386,success
271.702328,60,139.671178,success
272.05731,61,139.772298,success
270.164873,60,139.867286,success
271.635083,60,139.961207,success
271.849592,60,140.221699,success
273.245824,60,140.316196,success
273.751747,60,140.41462,success
273.001049,59,140.51036,success
273.192147,61,140.639995,success
274.289726,60,140.770536,success
270.622245,60,140.872003,success
272.07864,60,140.968879,success
273.312003,60,141.234959,success
273.228988,59,141.334238,success
274.267797,60,141.429096,success
274.835922,59,141.523843,success
272.045507,59,141.622593,success
271.905528,60,141.718357,success
272.592922,60,141.817471,success
271.344229,60,141.915339,success
273.906754,60,142.011963,success
270.631089,61,142.271593,success
274.535729,60,142.36954,success
274.064969,59,142.464949,success
272.853705,60,142.560548,success
272.558053,60,142.658988,success
271.397995,60,142.75776,success
275.104889,59,142.851047,success
273.163754,59,142.949666,success
272.857087,58,143.209664,success
276.141614,58,143.301828,success
274.861143,59,143.398073,success
276.086668,59,143.496477,success
275.482981,58,143.589937,success
274.769146,59,143.684083,success
275.216452,59,143.778758,success
274.946683,58,143.871847,success
274.953592,59,143.967059,success
275.533956,59,144.229852,success
275.805193,58,144.323844,success
277.024954,58,144.417078,success
276.997836,59,144.510892,success
275.316593,58,144.602909,success
276.194095,58,144.696847,success
274.185804,58,144.78868,success
277.431037,60,144.886158,success
278.521683,57,144.977728,success
275.767426,58,145.234878,success
